"TOA5","WILSON","CR1000X","53426","CR1000X.Std.07.02","CPU:Wilson_v4.6CR1X_20240814.CR1X","42526","NewConstTable"
"TIMESTAMP","RECORD","Scan_interval","Daystosec","Daysto1990","utcoffset","ApplyAndRestart"
"TS","RN","","","","",""
"","","","","","",""
"2024-08-15 15:51:11.581",0,100,86400,7305,21600,0
"2024-08-15 15:51:11.581",0,100,86400,7305,21600,0
"2024-08-15 15:51:11.581",0,100,86400,7305,21600,0
"2024-08-15 15:51:11.581",0,100,86400,7305,21600,0
"2024-08-19 09:09:33.26",0,100,86400,7305,21600,0
"2024-08-19 09:09:33.26",0,100,86400,7305,21600,0
"2024-08-19 13:43:28.237",0,100,86400,7305,21600,0
"2024-08-21 08:31:58.164",0,100,86400,7305,21600,0
"2024-09-19 10:33:37.684",0,100,86400,7305,21600,0
"2024-09-23 10:22:06.288",0,100,86400,7305,21600,0
"2026-01-11 11:15:22.187",0,100,86400,7305,21600,0
"2026-01-11 11:15:22.187",0,100,86400,7305,21600,0
"2026-01-12 13:21:35.626",0,100,86400,7305,21600,0
"2026-01-12 13:46:17.89",0,100,86400,7305,21600,0
"2026-01-12 15:52:22.346",0,100,86400,7305,21600,0
"2026-01-12 16:04:25.186",0,100,86400,7305,21600,0
"2026-01-12 16:27:36.578",0,100,86400,7305,21600,0
"2026-01-12 16:55:08.346",0,100,86400,7305,21600,0
"2026-01-12 17:29:39.215",0,100,86400,7305,21600,0
"2026-01-12 17:58:12.265",0,100,86400,7305,21600,0
"2026-01-12 18:04:24.565",0,100,86400,7305,21600,0
"2026-01-12 20:25:47.177",0,100,86400,7305,21600,0
"2026-01-13 02:53:38.328",0,100,86400,7305,21600,0
"2026-01-13 03:44:11.603",0,100,86400,7305,21600,0
"2026-01-17 11:15:25.497",0,100,86400,7305,21600,0
"2026-01-19 14:21:10.291",0,100,86400,7305,21600,0
"2026-01-23 09:41:05.328",0,100,86400,7305,21600,0
"2026-01-24 12:27:13.855",0,100,86400,7305,21600,0
